# H_HI, H_HeI
9.190187234779093980e-31,2.580132093964144700e-29
1.577965409283797060e-30,4.431525697561323256e-29
2.398646504621454521e-30,6.738533195812867713e-29
3.358466104109391454e-30,9.438028782274686995e-29
4.431698697520644170e-30,1.245791739049942266e-28
5.591347661542005051e-30,1.572235703869114731e-28
6.809575073120823930e-30,1.915298413941545333e-28
8.057423506499616228e-30,2.266815696917771902e-28
9.304316407592661846e-30,2.618158100442978064e-28
1.051766562936165254e-29,2.960123861470003590e-28
1.166284090978970188e-29,3.282933886273836584e-28
1.270372256593263948e-29,3.576390845487401737e-28
1.360401626709596970e-29,3.830252450836651607e-28
1.432941384757122922e-29,4.034842170569856729e-28
1.485050767135016490e-29,4.181870950101751057e-28
1.514611224722832791e-29,4.265372173718572380e-28
1.520637543917697294e-29,4.282575995575702020e-28
1.503489193108471145e-29,4.234501778370655476e-28
1.464909977623915840e-29,4.126066890788210396e-28
1.407861011922669277e-29,3.965614152983127742e-28
1.336169752281516221e-29,3.763922523792035463e-28
1.254072441887356416e-29,3.532918913841319047e-28
1.165753493853165469e-29,3.284382263134465807e-28
1.074972887368101814e-29,3.028895756872400808e-28
9.848322350206279069e-30,2.775189317789590680e-28
8.976839495308705994e-30,2.529884574218880535e-28
8.151546120367430568e-30,2.297560905069958955e-28
7.382400618422900443e-30,2.081023068651473904e-28
6.674322471793169382e-30,1.881658062232634935e-28
6.028486353487742400e-30,1.699799129074299298e-28
5.443471511001968045e-30,1.535049048070172585e-28
4.916194255992563965e-30,1.386542425496961122e-28
4.442615145016684280e-30,1.253144628610078990e-28
4.018246090226880863e-30,1.133594458564531398e-28
3.638495472610101911e-30,1.026601266632258511e-28
3.298890123366763112e-30,9.309074403845191393e-29
2.995208121902134581e-30,8.453258044474186304e-29
2.723549578698349202e-30,7.687595747120355211e-29
2.480365930677314882e-30,7.002106382847495970e-29
2.262462623374383187e-30,6.387803422915767206e-29
2.066985604026386184e-30,5.836657235610331715e-29
1.891398719501661934e-30,5.341531749012206693e-29
1.733456709129485219e-30,4.896108677354181141e-29
1.591176794797017629e-30,4.494807762266641834e-29
1.462810713100887833e-30,4.132708224169875199e-29
1.346818257278917599e-30,3.805474432901179512e-29
1.241842886461577997e-30,3.509287370953756992e-29
1.146689633266912561e-30,3.240782543554678203e-29
1.060305338557437281e-30,2.996994420338493969e-29
9.817611227499559232e-31,2.775307156801040313e-29
9.102369378046237118e-31,2.573411159575748653e-29
8.450080134638974027e-31,2.389264973145522090e-29
7.854330024012145581e-31,2.221061940136487099e-29
7.309436330117777096e-31,2.067201098463906823e-29
6.810356899718579999e-31,1.926261810380297495e-29
6.352611577718342063e-31,1.796981660672187123e-29
5.932213789091523232e-31,1.678237207435664265e-29
5.545610949236604128e-31,1.569027215123140191e-29
5.189632541689188192e-31,1.468458043636434995e-29
4.861444847158558217e-31,1.375730907948211397e-29
4.558511438950031462e-31,1.290130759541438756e-29
4.278558676623021455e-31,1.211016573753489653e-29
4.019545532689840821e-31,1.137812856029480951e-29
3.779637177235307652e-31,1.070002205393773914e-29
3.557181823706143953e-31,1.007118795467588211e-29
3.350690407028988560e-31,9.487426524434876787e-30
3.158818723890799054e-31,8.944946259173004711e-30
2.980351715608394820e-31,8.440319626980470157e-30
2.814189617578444494e-31,7.970444059622827023e-30
2.659335736780251724e-31,7.532507526560754727e-30
2.514885651037965823e-31,7.123958111105053641e-30
2.380017651468300130e-31,6.742477086305663949e-30
2.253984273381868012e-31,6.385955055217295758e-30
2.136104781421617179e-31,6.052470777877757079e-30
2.025758492385340656e-31,5.740272357012888419e-30
1.922378834398462048e-31,5.447760497288506141e-30
1.825448054227729115e-31,5.173473589847277329e-30
1.734492495855259594e-31,4.916074405737335533e-30
1.649078383221106136e-31,4.674338209378094937e-30
1.568808048509874833e-31,4.447142127031549667e-30
1.493316554689510481e-31,4.233455625879060920e-30
1.422268667367698137e-31,4.032331977192392893e-30
1.355356136549787073e-31,3.842900592617230419e-30
1.292295253678222989e-31,3.664360136084823849e-30
1.232824653506921036e-31,3.495972325613462469e-30
1.176703334000172203e-31,3.337056349495908729e-30
1.123708870617663999e-31,3.186983830297616116e-30
1.073635804117825959e-31,3.045174277889813977e-30
1.026294183434627586e-31,2.911090979562603881e-30
9.815082473046417646e-32,2.784237281236474531e-30
9.391152301812426569e-32,2.664153219027740919e-30
8.989642796055859748e-32,2.550412465020874680e-30
8.609154736390307837e-32,2.442619555141502439e-30
8.248389282243638511e-32,2.340407370579745027e-30
7.906139854556759864e-32,2.243434847346560643e-30
7.581284747179331660e-32,2.151384891309219282e-30
7.272780395238239028e-32,2.063962478492717923e-30
6.979655236415335000e-32,1.980892922591752608e-30
6.701004107851834986e-32,1.901920293547969231e-30
6.435983127405304987e-32,1.826805972739905312e-30
