# SFRs_2, SFR1s_2, SFR2s_2
6.162748459393126849e-02,7.604943440950227840e-02,9.507286517327148689e-02
6.978599447458241900e-02,8.671790802638613960e-02,1.091808851571465094e-01
7.864052422158443467e-02,9.848650764161695492e-02,1.250110098992553154e-01
8.754636922533069743e-02,1.105864170410423841e-01,1.416597674360917936e-01
9.589693304309789001e-02,1.222770525732682495e-01,1.582351977997052128e-01
1.031857512544252647e-01,1.329191920481911093e-01,1.739414841247538812e-01
1.090389131660751132e-01,1.420153577465499695e-01,1.881279158577070787e-01
1.132228685677612867e-01,1.492229423768576257e-01,2.003082322810251781e-01
1.156354453814141953e-01,1.543484841188069723e-01,2.101593002867230553e-01
1.162871035710233564e-01,1.573305914756409907e-01,2.175070346491041473e-01
1.152776649739940540e-01,1.582171117579684594e-01,2.223054274600687608e-01
1.127721289256384124e-01,1.571404242214132774e-01,2.246127561833805020e-01
1.089779124026229729e-01,1.542934194086528210e-01,2.245676781288759027e-01
1.041248961736503109e-01,1.499077402924590963e-01,2.223669153584587888e-01
9.844895341086981611e-02,1.442351351643457458e-01,2.182455014568788487e-01
9.217913622306216082e-02,1.375322524309946226e-01,2.124600380695167157e-01
8.552835907507184976e-02,1.300488514162430886e-01,2.052750487009566416e-01
7.868721133920701660e-02,1.220191756585851522e-01,1.969522832331853657e-01
7.182042339504547679e-02,1.136561056092592475e-01,1.877426882491272375e-01
6.506547481333345428e-02,1.051476499711932605e-01,1.778806897486367722e-01
5.853284654348606120e-02,9.665532738110158006e-02,1.675804149994604419e-01
5.230746336496321786e-02,8.831401519460964356e-02,1.570334921912442117e-01
4.645093405940168424e-02,8.023288627466185208e-02,1.464080973684973308e-01
4.100426450267900813e-02,7.249710797616221170e-02,1.358489584283709140e-01
3.599078607622145654e-02,6.517003305665745871e-02,1.254780693241725753e-01
3.141910396301157010e-02,5.829566553737791645e-02,1.153959098725191451e-01
2.728592452044704270e-02,5.190123294971768497e-02,1.056830053158105132e-01
2.357866694514621636e-02,4.599973862360418747e-02,9.640169387403459134e-02
2.027780178451310186e-02,4.059240331479577191e-02,8.759799958920856666e-02
1.735888805042549304e-02,3.567093472098090134e-02,7.930353199111762896e-02
1.479430264753808094e-02,3.121958683422755218e-02,7.153735394444932227e-02
1.255467159572100540e-02,2.721698931951623684e-02,6.430777504760915031e-02
1.061002318282788098e-02,2.363774094766325773e-02,5.761404073725101549e-02
8.930689754085929452e-03,2.045377127882041374e-02,5.144789736785430195e-02
7.487988249050051524e-03,1.763548196383924946e-02,4.579502147469282497e-02
