# PhotoIonRate_HI, PhotoIonRate_HeI, PhotoIonRate_HeII
1.499646193922736048e-30,4.274053227261218154e-29,3.314319642840139131e-29
2.565683801324717552e-30,7.313790467377642361e-29,5.672981599260316327e-29
3.885537566531019734e-30,1.107852706195781661e-28,8.595472428481998139e-29
5.420320034156495601e-30,1.545773872290329982e-28,1.199640150464657723e-28
7.127235561119582901e-30,2.032956834905844749e-28,1.578139524217681376e-28
8.962577079138940483e-30,2.556937670646597722e-28,1.985373593865016090e-28
1.088230146639759411e-29,3.105140560519300121e-28,2.411567373765778970e-28
1.284141258311579032e-29,3.664704760768947415e-28,2.846711239599522962e-28
1.479296172303265949e-29,4.222202754902862485e-28,3.280345392159462618e-28
1.668720155423771894e-29,4.763402382689030196e-28,3.701378701287788365e-28
1.847130608498803090e-29,5.273190591086684593e-28,4.098033220663913741e-28
2.009001855239063921e-29,5.735761961823604706e-28,4.457994366681788452e-28
2.148752840960040943e-29,6.135157733338883169e-28,4.768833099490954813e-28
2.261073452914116083e-29,6.456199806979170839e-28,5.018734301376995780e-28
2.341377382758137752e-29,6.685784859072196276e-28,5.197503838919020153e-28
2.386328518850147142e-29,6.814386936126259246e-28,5.297736183701427652e-28
2.394343105030072542e-29,6.837489432837648347e-28,5.315925683282874250e-28
2.365940603045528311e-29,6.756584092872809843e-28,5.253240262305838536e-28
2.303824894227184535e-29,6.579399840169678180e-28,5.115696234353524010e-28
2.212635306032409575e-29,6.319189501071646288e-28,4.913601433963169636e-28
2.098399753710200962e-29,5.993167197591542420e-28,4.660339381139830020e-28
1.967811541220509886e-29,5.620443548674013355e-28,4.370764410011792793e-28
1.827495555679890113e-29,5.219931528124943851e-28,4.059574940860730765e-28
1.683411295601832763e-29,4.808643371275855360e-28,3.739991074462452328e-28
1.540475943989973806e-29,4.400615595846268972e-28,3.422920251939206938e-28
1.402416231953535367e-29,4.006486821141824849e-28,3.116629877393514357e-28
1.271803686411456058e-29,3.633598699358477754e-28,2.826826058176299992e-28
1.150205445092283604e-29,3.286426442434582812e-28,2.556988160543122085e-28
1.038386502226560818e-29,2.967155985226552445e-28,2.308817134501954781e-28
9.365163835382817387e-30,2.676273728331125217e-28,2.082693550576381264e-28
8.443527839819551161e-30,2.413090530000368749e-28,1.878084555923323988e-28
7.613905000134733819e-30,2.176166676128113824e-28,1.693873932930119042e-28
6.869742679444647702e-30,1.963633874379168647e-28,1.528612197148100566e-28
6.203795499485233897e-30,1.773425803742350316e-28,1.380695689122189392e-28
5.608673812938932608e-30,1.603434659385718186e-28,1.248488199928690709e-28
5.077195215733486623e-30,1.451611500799086272e-28,1.130398955629839090e-28
4.602593607779954682e-30,1.316025952454172611e-28,1.024929032573129305e-28
4.178629390408113053e-30,1.194897691586214348e-28,9.306958578905979992e-29
3.799633698961636188e-30,1.086609108723962878e-28,8.464430828593820433e-29
3.460510475731750867e-30,9.897059328768526307e-29,7.710411033657846086e-29
3.156713037244417026e-30,9.028905734236001680e-29,7.034819181247526227e-29
2.884206444806229864e-30,8.250114059612981080e-29,6.428708314844098583e-29
2.639423134163164342e-30,7.550501301422249418e-29,5.884166541324577940e-29
2.419216559373409493e-30,6.921085569632094984e-29,5.394214566382186818e-29
2.220815757113405563e-30,6.353956554049622374e-29,4.952705210226969363e-29
2.041782499407442356e-30,5.842153349523568833e-29,4.554228610565082288e-29
1.879971892165735075e-30,5.379552091585537660e-29,4.194025022224271493e-29
1.733496760095854009e-30,4.960764378710194172e-29,3.867905976117104667e-29
1.600695840165133338e-30,4.581046548161625840e-29,3.572183853349430193e-29
1.480105619218466785e-30,4.236219339366028906e-29,3.303609515631319458e-29
1.370435550773302797e-30,3.922597191174786887e-29,3.059317409213251995e-29
1.270546340325394449e-30,3.636926288528670012e-29,2.836777457443660679e-29
1.179430976867021830e-30,3.376330440439548711e-29,2.633753030537380910e-29
1.096198196962929859e-30,3.138263895538216918e-29,2.448264299701317174e-29
1.020058087667039061e-30,2.920470258059492847e-29,2.278556326463230775e-29
9.503095600488629664e-31,2.720946739641792157e-29,2.123071294139177099e-29
8.863294525438139332e-31,2.537913060459197714e-29,1.980424348885988223e-29
8.275630505819749031e-31,2.369784390795910492e-29,1.849382577906274796e-29
7.735158347500753768e-31,2.215147797684171925e-29,1.728846709354996233e-29
7.237462934616623488e-31,2.072741728826249660e-29,1.617835170910714827e-29
6.778596574859800347e-31,1.941438126948605758e-29,1.515470191225974282e-29
6.355024326801777222e-31,1.820226821883425466e-29,1.420965670471599434e-29
5.963576239784405044e-31,1.708201895310846713e-29,1.333616583146979785e-29
5.601405582833680197e-31,1.604549754701292483e-29,1.252789708610198773e-29
5.265952265797061429e-31,1.508538689140570988e-29,1.177915512828451436e-29
4.954910765575959001e-31,1.419509710996527359e-29,1.108481029121499161e-29
4.666201964954350135e-31,1.336868514374614986e-29,1.044023606617856082e-29
4.397948393017541398e-31,1.260078404553437246e-29,9.841254131853832000e-30
4.148452426244962370e-31,1.188654072583778620e-29,9.284085951176728045e-30
3.916177069596351974e-31,1.122156106417385335e-29,8.765310091971927133e-30
3.699728988659660599e-31,1.060186144694381412e-29,8.281824542178716749e-30
3.497843508384807437e-31,1.002382592001065436e-29,7.830813388974479359e-30
3.309371332127610288e-31,9.484168253085872713e-30,7.409717315728952564e-30
3.133266767567418225e-31,8.979898306726991056e-30,7.016207443484009521e-30
2.968577274310375827e-31,8.508292173350470599e-30,6.648162106250817654e-30
2.814434172307921841e-31,8.066865633055087468e-30,6.303646203309322763e-30
2.670044371172575817e-31,7.653350524841158106e-30,5.980892818134969258e-30
2.534682998543481261e-31,7.265673685379843563e-30,5.678286833634122494e-30
2.407686821254980753e-31,6.901938152009780628e-30,5.394350307955697923e-30
2.288448366545420652e-31,6.560406365121602385e-30,5.127729405042222874e-30
2.176410662210707931e-31,6.239485138391352756e-30,4.877182699954864373e-30
2.071062524714701340e-31,5.937712194173458440e-30,4.641570701421358683e-30
1.971934333035491369e-31,5.653744086388325018e-30,4.419846453499682887e-30
1.878594233640040299e-31,5.386345354972333894e-30,4.211047095137107213e-30
1.790644728599666723e-31,5.134378774855697276e-30,4.014286271089380708e-30
1.707719604622200693e-31,4.896796578886631732e-30,3.828747300450612332e-30
1.629481165800598722e-31,4.672632548462984575e-30,3.653677020191078092e-30
1.555617737262684237e-31,4.460994878151387185e-30,3.488380230829821168e-30
1.485841410738578996e-31,4.261059731514324830e-30,3.332214679872299363e-30
1.419886006415351813e-31,4.072065414939064539e-30,3.184586526084675339e-30
1.357505228385824188e-31,3.893307104649586905e-30,3.044946234195940195e-30
1.298470993575118492e-31,3.724132069440227315e-30,2.912784855338558326e-30
1.242571916291477932e-31,3.563935338131574735e-30,2.787630653561831856e-30
1.189611932537703056e-31,3.412155766431528355e-30,2.669046043169876132e-30
1.139409049971412205e-31,3.268272462887260890e-30,2.556624805525759404e-30
1.091794210946388389e-31,3.131801538023526374e-30,2.449989557391965405e-30
1.046610257429955497e-31,3.002293144654479139e-30,2.348789445903460170e-30
1.003710987795164971e-31,2.879328780794543332e-30,2.252698047943266567e-30
9.629602965514618221e-32,2.762518829635306242e-30,2.161411454055639648e-30
9.242313890204275811e-32,2.651500313748785627e-30,2.074646519126483751e-30
